fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,flow_duration,label
112,100,11394,6298,19986105.018730003,Benign
280,14,18988,8198,2602033.010274497,Benign
116,17,8590,13506,11794169.439098556,Benign
81,51,3082,13001,10793537.84331919,Benign
198,155,13134,4538,5851705.3539863005,Benign
30,54,16058,12331,19023535.4822569,Benign
112,136,15301,3945,12764252.989948895,Benign
131,120,6093,631,5374337.385448847,Benign
224,117,1284,10748,8296915.758928388,Benign
97,199,6566,6362,14703359.11075919,Benign
109,89,11757,652,6656237.541229959,Benign
161,57,9218,2978,17712517.83916244,Benign
140,134,19658,9174,4147804.061194858,Benign
159,72,4972,6616,6025596.707432125,Benign
267,197,14679,804,3753073.6539558996,Benign
201,83,12573,3019,2979397.9364304673,Benign
286,61,5113,6612,6705993.045814609,Benign
170,101,15378,1492,19984396.180373367,Benign
31,139,11328,10929,2792258.8519716943,Probe
262,151,18673,6147,5047041.645098478,Benign
245,176,11373,11251,6160719.18248204,Benign
58,67,19895,13130,12763464.004971873,Benign
68,69,6720,8097,15161568.231749197,Benign
179,43,18539,9406,15286739.822226869,Benign
197,113,6153,2209,1164083.6568377926,Benign
280,30,7226,8518,13385158.71718984,Benign
199,176,3976,9749,12984000.707974957,Benign
184,16,6251,970,10835438.955907667,Benign
60,154,4499,3965,8204962.666671423,Benign
64,81,17587,9432,16151439.751763368,Benign
253,146,19206,4066,7533735.113233693,Benign
140,90,11736,9204,5370233.170025424,Benign
144,34,9633,12085,6891808.316784645,Benign
30,176,7971,5734,9353310.425340151,Benign
176,170,10507,3785,5067090.372052051,Benign
283,191,14158,12529,12543853.677904245,Brute Force
98,174,12108,10884,17799974.847726017,Benign
23,56,13077,13346,12313742.359079426,Benign
251,67,5175,13579,9486697.842070244,Benign
274,193,3859,13989,16140506.558273176,Benign
62,124,3962,14536,15212733.834616046,Benign
101,109,14616,9051,7974104.309083227,Benign
273,166,18751,784,12478915.942641875,Benign
44,43,13857,12008,14867014.346041832,Benign
215,45,6210,3777,5663801.902369379,Benign
90,125,3909,3131,7959203.702599607,Benign
59,112,11408,2257,3009745.34044944,Benign
11,169,4405,11466,19765925.287829835,Benign
63,69,16993,5979,2631675.35803958,Benign
115,122,15923,10214,4203516.37734797,Benign
269,83,1820,13952,10116807.043618657,Benign
200,164,8255,6287,17440164.83734625,Benign
227,12,15941,9937,7761758.43601123,Benign
53,101,12017,10104,15603326.803095572,Benign
171,22,5453,5949,13844647.393008485,Benign
211,177,13206,5338,13134617.466033898,Benign
279,100,14710,10108,17055327.76836996,Benign
280,37,15860,9049,1269235.5029438874,Benign
224,9,9086,3965,18653907.73264744,Benign
261,131,16776,6548,16755297.42638957,Benign
199,78,19050,7230,18819477.173384715,Benign
222,130,8389,4635,16078169.793277055,Benign
217,168,12774,11641,17693236.741631176,Benign
246,155,3200,3641,4858482.915790104,Benign
62,172,13142,11568,7065352.270663961,Benign
289,9,18367,5053,6989199.255943888,Benign
226,38,7051,14756,3074168.171683078,Benign
261,28,5115,696,14862005.850407224,Benign
197,149,7371,2374,3587246.961054384,Benign
50,99,7587,6330,1997674.1555021522,Benign
166,75,11607,7179,15733490.531046214,Benign
24,96,16234,8486,18188600.224906657,Benign
74,129,14930,1437,15518343.611337531,Benign
18,26,10080,2694,16681692.043807551,Benign
138,19,2883,12222,12316811.878784653,Benign
145,105,5821,4625,17867180.42038031,DoS
72,19,4822,6750,10437366.164799247,Benign
148,157,9338,14489,19778129.751261834,Benign
90,57,19100,9081,2964885.812619529,Benign
172,153,3477,11618,16374433.427326294,Benign
298,106,14135,8662,13186398.904214231,Benign
270,198,10655,7049,12032275.296202708,Benign
240,117,11437,13932,14790400.086361306,Benign
50,36,16332,7678,16965539.08517813,Benign
37,25,10502,9038,17394797.269969687,Benign
144,176,1368,11536,4332238.295935715,Benign
210,87,14598,8810,4743682.665306415,Benign
277,198,3747,8554,1307163.680758345,Benign
42,18,8562,5115,3505006.6980531826,Benign
57,19,8139,9930,6013767.364148567,Brute Force
71,152,11010,11472,14699680.628455374,Benign
225,38,7704,10819,10039582.671047691,Benign
108,168,2887,2966,15400167.17609633,Benign
181,87,12975,9275,10244181.108577922,Benign
223,13,17443,3259,11556351.605289398,Brute Force
44,162,1544,2208,3110265.1452780673,Benign
236,81,14555,5908,15754607.408844618,Benign
110,195,18614,6877,15404404.111791542,Benign
140,167,15813,6904,6843670.241931772,Benign
266,145,14333,14769,7242983.478207637,Benign
14,178,17942,7576,5173947.560889574,Benign
227,188,15684,11396,16462953.844686901,Benign
264,13,9861,13833,15193129.237273827,Benign
292,40,18454,6721,12573807.025500802,Benign
216,121,2050,5337,5537619.959464251,Benign
24,7,15292,9363,4265213.31966114,Benign
51,23,16756,10463,1955108.172317649,Benign
188,160,5022,2185,1866618.15379187,Benign
72,27,9336,10769,4555586.656358212,Benign
240,108,3634,2985,2910118.11414122,Benign
250,139,8288,10388,11566045.785526417,Benign
61,109,9992,8440,7803712.428095063,Benign
105,146,2485,4101,9453969.86119478,Benign
231,50,18056,12850,12287276.488156606,Benign
240,147,13166,1953,13522933.16171676,Benign
246,199,18798,3706,13315832.677768983,Benign
152,19,4894,12944,5956275.149595817,Benign
180,55,4846,7212,16382913.385625951,Benign
38,114,15481,3490,18436483.728465367,Probe
45,12,10386,13564,7002828.59724071,Benign
22,73,19408,10993,1324242.9147552913,Benign
169,194,18741,11950,18083929.546321593,Benign
196,183,15996,14691,18547425.926116046,Benign
252,67,9048,8046,1967982.3678476373,Benign
95,72,1568,1850,1094175.245325033,Benign
293,148,7490,6842,16511690.876862101,Benign
75,156,2945,7838,6727803.735179025,Benign
179,10,17791,5934,18377061.17862378,Benign
54,123,5228,12793,5118127.892121386,Benign
71,61,12945,4449,17361937.706405155,Benign
143,35,9805,1779,2304241.1247756965,Benign
293,10,8131,6498,5952100.098965499,Benign
37,161,3218,1320,19489448.70376718,Benign
117,71,15975,10035,5392736.432294364,Benign
53,135,16609,6619,3527246.6974257817,Benign
295,160,8711,2795,17284038.39698691,Benign
137,78,12991,503,3238215.0434681023,Benign
240,118,13105,3060,2851666.063010566,Benign
199,101,17877,7481,7145077.54960118,Benign
234,180,16238,11245,13071241.625342231,Benign
292,84,4868,530,14504181.101795217,Benign
130,127,12526,6452,17743536.89272052,Benign
125,142,11060,10344,11277318.993223015,Benign
242,37,6433,8632,8474937.948458532,Benign
268,199,18822,9990,7817841.474854837,Benign
207,144,2352,13496,17091151.841072004,Benign
146,189,9236,1385,14752490.880170643,Benign
174,48,19764,7992,18203151.260777645,Benign
234,17,5560,9892,19316673.658900667,Benign
243,156,17583,12050,6700965.885592341,Benign
181,176,16560,10671,11063808.25531595,Benign
161,61,5424,5343,13004595.339931825,Benign
169,100,8847,4538,4113129.988752694,Benign
